x,y,theta,v,x_ref,y_ref,theta_ref
-1.484585,-2.076695,5.529481,1.000000,0.078537,-4.999383,6.298893
-1.448128,-2.110913,5.545993,1.000000,0.157054,-4.997533,6.314601
-1.411110,-2.144523,5.562531,1.000000,0.235532,-4.994449,6.330309
-1.373541,-2.177517,5.579096,1.000000,0.313953,-4.990134,6.346017
-1.335431,-2.209884,5.595688,1.000000,0.392295,-4.984587,6.361725
-1.296789,-2.241614,5.612306,1.000000,0.470542,-4.977810,6.377433
-1.257625,-2.272698,5.628949,1.000000,0.548672,-4.969805,6.393141
-1.217950,-2.303126,5.645619,1.000000,0.626666,-4.960574,6.408849
-1.177772,-2.332888,5.662313,1.000000,0.704506,-4.950118,6.424557
-1.137104,-2.361975,5.679033,1.000000,0.782172,-4.938442,6.440265
-1.095954,-2.390378,5.695777,1.000000,0.859646,-4.925547,6.455973
-1.054335,-2.418088,5.712545,1.000000,0.936907,-4.911436,6.471681
-1.012258,-2.445097,5.729337,1.000000,1.013936,-4.896114,6.487389
-0.969732,-2.471395,5.746153,1.000000,1.090716,-4.879584,6.503097
-0.926771,-2.496975,5.762991,1.000000,1.167227,-4.861850,6.518805
-0.883385,-2.521827,5.779853,1.000000,1.243449,-4.842916,6.534513
-0.839586,-2.545944,5.796737,1.000000,1.319365,-4.822787,6.550221
-0.795386,-2.569319,5.813642,1.000000,1.394956,-4.801468,6.565929
-0.750797,-2.591943,5.830570,1.000000,1.470202,-4.778965,6.581637
-0.705832,-2.613809,5.847518,1.000000,1.545085,-4.755283,6.597345
-0.660502,-2.634910,5.864487,1.000000,1.619587,-4.730427,6.613053
-0.614821,-2.655238,5.881476,1.000000,1.693690,-4.704404,6.628760
-0.568802,-2.674788,5.898485,1.000000,1.767374,-4.677220,6.644468
-0.522456,-2.693552,5.915513,1.000000,1.840623,-4.648882,6.660176
-0.475798,-2.711524,5.932560,1.000000,1.913417,-4.619398,6.675884
-0.428840,-2.728698,5.949626,1.000000,1.985739,-4.588773,6.691592
-0.381596,-2.745069,5.966709,1.000000,2.057572,-4.557016,6.707300
-0.334079,-2.760630,5.983810,1.000000,2.128896,-4.524135,6.723008
-0.286303,-2.775376,6.000928,1.000000,2.199696,-4.490138,6.738716
-0.238281,-2.789302,6.018062,1.000000,2.269952,-4.455033,6.754424
-0.190028,-2.802403,6.035212,1.000000,2.339649,-4.418828,6.770132
-0.141558,-2.814676,6.052377,1.000000,2.408768,-4.381533,6.785840
-0.092884,-2.826114,6.069557,1.000000,2.477293,-4.343158,6.801548
-0.044020,-2.836714,6.086751,1.000000,2.545207,-4.303710,6.817256
0.005018,-2.846473,6.103959,1.000000,2.612493,-4.263201,6.832964
0.054217,-2.855386,6.121181,1.000000,2.679134,-4.221640,6.848672
0.103563,-2.863451,6.138415,1.000000,2.745114,-4.179037,6.864380
0.153040,-2.870664,6.155661,1.000000,2.810417,-4.135403,6.880088
0.202634,-2.877023,6.172919,1.000000,2.875026,-4.090749,6.895796
0.252330,-2.882525,6.190187,1.000000,2.938926,-4.045085,6.911504
0.302114,-2.887169,6.207466,1.000000,3.002101,-3.998423,6.927212
0.351971,-2.890951,6.224755,1.000000,3.064535,-3.950775,6.942920
0.401885,-2.893871,6.242054,1.000000,3.126213,-3.902152,6.958628
0.451843,-2.895927,6.259360,1.000000,3.187120,-3.852566,6.974336
0.501829,-2.897118,6.276675,1.000000,3.247240,-3.802030,6.990044
0.551828,-2.897443,6.293998,1.000000,3.306559,-3.750555,7.005752
0.601825,-2.896903,6.311327,1.000000,3.365063,-3.698155,7.021460
0.651805,-2.895496,6.328663,1.000000,3.422736,-3.644843,7.037168
0.701753,-2.893223,6.346004,1.000000,3.479564,-3.590631,7.052876
0.751655,-2.890084,6.363350,1.000000,3.535534,-3.535534,7.068583
0.801494,-2.886080,6.380701,1.000000,3.590631,-3.479564,7.084291
0.851257,-2.881212,6.398056,1.000000,3.644843,-3.422736,7.099999
0.900927,-2.875481,6.415414,1.000000,3.698155,-3.365063,7.115707
0.950491,-2.868889,6.432775,1.000000,3.750555,-3.306559,7.131415
0.999932,-2.861437,6.450138,1.000000,3.802030,-3.247240,7.147123
1.049237,-2.853128,6.467502,1.000000,3.852566,-3.187120,7.162831
1.098390,-2.843964,6.484868,1.000000,3.902152,-3.126213,7.178539
1.147377,-2.833949,6.502233,1.000000,3.950775,-3.064535,7.194247
1.196182,-2.823084,6.519599,1.000000,3.998423,-3.002101,7.209955
1.244791,-2.811373,6.536963,1.000000,4.045085,-2.938926,7.225663
1.293190,-2.798820,6.554326,1.000000,4.090749,-2.875026,7.241371
1.341363,-2.785428,6.571687,1.000000,4.135403,-2.810417,7.257079
1.389296,-2.771202,6.589046,1.000000,4.179037,-2.745114,7.272787
1.436976,-2.756146,6.606401,1.000000,4.221640,-2.679134,7.288495
1.484387,-2.740266,6.623752,1.000000,4.263201,-2.612493,7.304203
1.531515,-2.723565,6.641099,1.000000,4.303710,-2.545207,7.319911
1.578347,-2.706048,6.658442,1.000000,4.343158,-2.477293,7.335619
1.624867,-2.687723,6.675778,1.000000,4.381533,-2.408768,7.351327
1.671063,-2.668594,6.693109,1.000000,4.418828,-2.339649,7.367035
1.716921,-2.648667,6.710433,1.000000,4.455033,-2.269952,7.382743
1.762426,-2.627948,6.727750,1.000000,4.490138,-2.199696,7.398451
1.807566,-2.606445,6.745059,1.000000,4.524135,-2.128896,7.414159
1.852327,-2.584164,6.762360,1.000000,4.557016,-2.057572,7.429867
1.896696,-2.561111,6.779653,1.000000,4.588773,-1.985739,7.445575
1.940659,-2.537295,6.796936,1.000000,4.619398,-1.913417,7.461283
1.984205,-2.512723,6.814210,1.000000,4.648882,-1.840623,7.476991
2.027319,-2.487402,6.831473,1.000000,4.677220,-1.767374,7.492698
2.069990,-2.461341,6.848726,1.000000,4.704404,-1.693690,7.508406
2.112205,-2.434547,6.865968,1.000000,4.730427,-1.619587,7.524114
2.153952,-2.407030,6.883198,1.000000,4.755283,-1.545085,7.539822
2.195218,-2.378797,6.900416,1.000000,4.778965,-1.470202,7.555530
2.235993,-2.349858,6.917621,1.000000,4.801468,-1.394956,7.571238
2.276263,-2.320222,6.934814,1.000000,4.822787,-1.319365,7.586946
2.316018,-2.289898,6.951993,1.000000,4.842916,-1.243449,7.602654
2.355246,-2.258895,6.969158,1.000000,4.861850,-1.167227,7.618362
2.393936,-2.227224,6.986310,1.000000,4.879584,-1.090716,7.634070
2.432077,-2.194894,7.003446,1.000000,4.896114,-1.013936,7.649778
2.469659,-2.161915,7.020568,1.000000,4.911436,-0.936907,7.665486
2.506670,-2.128297,7.037674,1.000000,4.925547,-0.859646,7.681194
2.543102,-2.094051,7.054765,1.000000,4.938442,-0.782172,7.696902
2.578942,-2.059188,7.071840,1.000000,4.950118,-0.704506,7.712610
2.614182,-2.023717,7.088898,1.000000,4.960574,-0.626666,7.728318
2.648812,-1.987651,7.105940,1.000000,4.969805,-0.548672,7.744026
2.682822,-1.951000,7.122964,1.000000,4.977810,-0.470542,7.759734
2.716203,-1.913775,7.139972,1.000000,4.984587,-0.392295,7.775442
2.748947,-1.875988,7.156962,1.000000,4.990134,-0.313953,7.791150
2.781044,-1.837650,7.173934,1.000000,4.994449,-0.235532,7.806858
2.812485,-1.798773,7.190887,1.000000,4.997533,-0.157054,7.822566
2.843263,-1.759369,7.207823,1.000000,4.999383,-0.078537,7.838274
