x,y,theta,v,x_ref,y_ref,theta_ref
1.056632,3.602666,9.846154,1.000000,1.840623,-4.648882,6.660176
1.011006,3.582215,9.863331,1.000000,1.913417,-4.619398,6.675884
0.965737,3.560984,9.880507,1.000000,1.985739,-4.588773,6.691592
0.920840,3.538978,9.897682,1.000000,2.057572,-4.557016,6.707300
0.876328,3.516204,9.914855,1.000000,2.128896,-4.524135,6.723008
0.832213,3.492670,9.932028,1.000000,2.199696,-4.490138,6.738716
0.788509,3.468381,9.949200,1.000000,2.269952,-4.455033,6.754424
0.745228,3.443345,9.966370,1.000000,2.339649,-4.418828,6.770132
0.702384,3.417570,9.983540,1.000000,2.408768,-4.381533,6.785840
0.659988,3.391063,10.000708,1.000000,2.477293,-4.343158,6.801548
0.618054,3.363833,10.017875,1.000000,2.545207,-4.303710,6.817256
0.576593,3.335886,10.035041,1.000000,2.612493,-4.263201,6.832964
0.535618,3.307232,10.052206,1.000000,2.679134,-4.221640,6.848672
0.495141,3.277879,10.069370,1.000000,2.745114,-4.179037,6.864380
0.455174,3.247835,10.086533,1.000000,2.810417,-4.135403,6.880088
0.415728,3.217110,10.103694,1.000000,2.875026,-4.090749,6.895796
0.376816,3.185712,10.120855,1.000000,2.938926,-4.045085,6.911504
0.338447,3.153652,10.138014,1.000000,3.002101,-3.998423,6.927212
0.300635,3.120938,10.155172,1.000000,3.064535,-3.950775,6.942920
0.263389,3.087579,10.172329,1.000000,3.126213,-3.902152,6.958628
0.226722,3.053587,10.189485,1.000000,3.187120,-3.852566,6.974336
0.190642,3.018971,10.206639,1.000000,3.247240,-3.802030,6.990044
0.155162,2.983741,10.223793,1.000000,3.306559,-3.750555,7.005752
0.120291,2.947907,10.240945,1.000000,3.365063,-3.698155,7.021460
0.086041,2.911481,10.258096,1.000000,3.422736,-3.644843,7.037168
0.052419,2.874473,10.275246,1.000000,3.479564,-3.590631,7.052876
0.019438,2.836893,10.292394,1.000000,3.535534,-3.535534,7.068583
-0.012895,2.798754,10.309541,1.000000,3.590631,-3.479564,7.084291
-0.044568,2.760066,10.326688,1.000000,3.644843,-3.422736,7.099999
-0.075574,2.720840,10.343833,1.000000,3.698155,-3.365063,7.115707
-0.105902,2.681089,10.360976,1.000000,3.750555,-3.306559,7.131415
-0.135545,2.640823,10.378119,1.000000,3.802030,-3.247240,7.147123
